Player name,Score
Josh,314
Luke,751
Kate,253
Mark,472
Mary,210
Josh,189
Luke,394
Kate,164
Mark,963
Mary,900
Josh,523
Luke,870
Kate,737
Mark,574
Mary,174
Josh,139
Luke,64
Kate,235
Mark,830
Mary,803
Josh,842
Luke,868
Kate,638
Mark,614
Mary,294
Josh,252
Luke,45
Kate,293
Mark,264
Mary,416
Josh,228
Luke,876
Kate,394
Mark,748
Mary,956
Josh,564
Luke,1
Kate,601
Mark,690
Mary,770
Josh,169
Luke,433
Kate,67
Mark,554
Mary,644
Josh,713
Luke,132
Kate,559
Mark,579
Mary,716
Josh,298
Luke,617
Kate,469
Mark,684
Mary,973
Josh,942
Luke,861
Kate,154
Mark,298
Mary,556
Josh,264
Luke,655
Kate,625
Mark,310
Mary,172
Josh,265
Luke,117
Kate,770
Mark,480
Mary,500
Josh,144
Luke,411
Kate,753
Mark,157
Mary,584
Josh,101
Luke,547
Kate,877
Mark,90
Mary,126
Josh,123
Luke,415
Kate,269
Mark,777
Mary,681
Josh,804
Luke,634
Kate,962
Mark,42
Mary,618
Josh,641
Luke,636
Kate,189
Mark,527
Mary,138
Josh,282
Luke,889
Kate,173
Mark,234
Mary,476
Josh,71
Luke,512
Kate,446
Mark,905
Mary,220
Josh,864
Luke,447
Kate,97
Mark,801
Mary,90
Josh,736
Luke,730
Kate,469
Mark,762
Mary,36
Josh,584
Luke,93
Kate,74
Mark,871
Mary,503
Josh,586
Luke,167
Kate,343
Mark,239
Mary,260
Josh,359
Luke,966
Kate,73
Mark,54
Mary,704
Josh,6
Luke,215
Kate,553
Mark,627
Mary,719
Josh,99
Luke,184
Kate,920
Mark,474
Mary,861
Josh,984
Luke,330
Kate,213
Mark,94
Mary,991
Josh,59
Luke,38
Kate,460
Mark,661
Mary,520
Josh,550
Luke,665
Kate,470
Mark,760
Mary,89
Josh,42
Luke,336
Kate,367
Mark,521
Mary,529
Josh,968
Luke,296
Kate,776
Mark,256
Mary,712
Josh,746
Luke,848
Kate,587
Mark,766
Mary,39
Josh,676
Luke,23
Kate,643
Mark,840
Mary,697
Josh,411
Luke,853
Kate,433
Mark,255
Mary,108
Josh,814
Luke,416
Kate,707
Mark,394
Mary,881
Josh,458
Luke,675
Kate,812
Mark,148
Mary,344
Josh,772
Luke,265
Kate,98
Mark,216
Mary,348
Josh,632
Luke,848
Kate,3
Mark,60
Mary,789
Josh,876
Luke,495
Kate,522
Mark,497
Mary,744
Josh,0
Luke,970
Kate,190
Mark,188
Mary,562
Josh,321
Luke,881
Kate,857
Mark,341
Mary,416
Josh,758
Luke,800
Kate,450
Mark,472
Mary,263
Josh,743
Luke,497
Kate,343
Mark,829
Mary,267
Josh,427
Luke,804
Kate,110
Mark,726
Mary,498
Josh,681
Luke,487
Kate,507
Mark,788
Mary,182
Josh,854
Luke,713
Kate,358
Mark,611
Mary,271
Josh,961
Luke,171
Kate,911
Mark,79
Mary,618
Josh,466
Luke,858
Kate,259
Mark,971
Mary,618
Josh,986
Luke,668
Kate,288
Mark,857
Mary,866
Josh,593
Luke,870
Kate,168
Mark,627
Mary,560
Josh,473
Luke,636
Kate,909
Mark,209
Mary,570
Josh,263
Luke,904
Kate,494
Mark,419
Mary,261
Josh,857
Luke,126
Kate,566
Mark,413
Mary,239
Josh,988
Luke,56
Kate,390
Mark,417
Mary,612
Josh,209
Luke,930
Kate,318
Mark,279
Mary,197
Josh,945
Luke,81
Kate,378
Mark,763
Mary,66
Josh,662
Luke,545
Kate,568
Mark,329
Mary,715
Josh,53
Luke,180
Kate,695
Mark,496
Mary,481
Josh,535
Luke,328
Kate,604
Mark,976
Mary,865
Josh,652
Luke,389
Kate,421
Mark,932
Mary,400
Josh,594
Luke,620
Kate,405
Mark,299
Mary,515
Josh,868
Luke,912
Kate,244
Mark,801
Mary,717
Josh,857
Luke,339
Kate,631
Mark,438
Mary,521
Josh,33
Luke,515
Kate,557
Mark,565
Mary,173
Josh,49
Luke,354
Kate,309
Mark,97
Mary,399
Josh,15
Luke,700
Kate,163
Mark,487
Mary,301
Josh,627
Luke,796
Kate,765
Mark,878
Mary,522
Josh,415
Luke,501
Kate,638
Mark,542
Mary,640
Josh,9
Luke,491
Kate,13
Mark,53
Mary,318
Josh,258
Luke,27
Kate,257
Mark,647
Mary,736
Josh,271
Luke,833
Kate,383
Mark,646
Mary,468
Josh,115
Luke,112
Kate,754
Mark,278
Mary,439
Josh,330
Luke,680
Kate,577
Mark,948
Mary,9
Josh,14
Luke,885
Kate,499
Mark,559
Mary,60
Josh,942
Luke,423
Kate,953
Mark,580
Mary,795
Josh,353
Luke,163
Kate,674
Mark,958
Mary,735
Josh,660
Luke,909
Kate,384
Mark,38
Mary,109
Josh,177
Luke,571
Kate,135
Mark,507
Mary,793
Josh,250
Luke,954
Kate,149
Mark,196
Mary,716
Josh,651
Luke,175
Kate,849
Mark,902
Mary,18
Josh,736
Luke,881
Kate,201
Mark,266
Mary,29
Josh,831
Luke,995
Kate,291
Mark,652
Mary,236
Josh,533
Luke,735
Kate,935
Mark,228
Mary,916
Josh,528
Luke,773
Kate,252
Mark,449
Mary,226
Josh,732
Luke,555
Kate,607
Mark,897
Mary,799
Josh,70
Luke,440
Kate,869
Mark,733
Mary,265
Josh,344
Luke,420
Kate,989
Mark,662
Mary,342
Josh,102
Luke,900
Kate,586
Mark,52
Mary,963
Josh,952
Luke,455
Kate,297
Mark,612
Mary,491
Josh,360
Luke,560
Kate,496
Mark,199
Mary,187
Josh,274
Luke,329
Kate,76
Mark,75
Mary,170
Josh,348
Luke,494
Kate,414
Mark,43
Mary,33
Josh,820
Luke,90
Kate,298
Mark,605
Mary,1
Josh,908
Luke,256
Kate,925
Mark,604
Mary,733
Josh,470
Luke,271
Kate,179
Mark,83
Mary,314
Josh,975
Luke,197
Kate,896
Mark,907
Mary,353
Josh,717
Luke,359
Kate,959
Mark,864
Mary,755
Josh,209
Luke,806
Kate,878
Mark,473
Mary,495
